partner_id,partner_name,email,phone,partner_type,role,region,city,city_tier,manager_id,training_path,signup_date,activation_date,cohort_month,months_active,onboarding_days,onboarding_status,modules_assigned,modules_completed,training_completion_pct,training_status,learning_hours,videos_completed,pdfs_opened,live_sessions_attended,mentor_sessions,portal_logins_30d,days_since_last_login,reminders_sent,quiz_attempts,quiz_avg_score,assessment_score,compliance_score,certification_status,certification_date,badges_earned,customer_ready,readiness_status,deployment_status,field_visits,leads_assigned,leads_converted,conversion_rate,sales_value,tickets_handled,avg_resolution_hours,qa_audit_score,productivity_score,customer_csat,complaints_count,repeat_issue_rate,partner_nps,performance_score,leaderboard_score,global_rank,regional_rank,at_risk_flag,at_risk_reason,next_best_action
PRT00776,Partner 776,partner776@demoapp.ai,+91-9301026108,Service Partner,Sales,South,Bengaluru,Tier 1,MGR057,Sales Excellence,2024-01-24,2024-02-15,2024-01,26,22,Standard,9,4,42.3,At Risk,17.3,6,8,1,4,16,9,3,15,55.4,82.2,69.8,Not Certified,,0,0,Not Ready,In Training,8,60,30,50.0,659148.0,29,14.9,82.0,60.1,3.49,5,16.7,17,97.6,94.9,50,40,1,Low training progress,Assign mentor + mandatory reminders
PRT00777,Partner 777,partner777@demoapp.ai,+91-9599997981,Field Staff,Relationship Manager,Central,Nagpur,Tier 2,MGR052,Partner Relationship Mastery,2025-10-16,2025-10-28,2025-10,5,12,Fast,14,2,13.3,At Risk,20.9,3,13,2,0,11,5,3,14,52.6,51.0,40.0,Not Certified,,1,0,Not Ready,In Training,64,37,13,35.1,107464.0,33,23.5,72.6,36.4,3.11,7,21.6,-15,70.9,72.1,278,198,1,Low training progress,Assign mentor + mandatory reminders
PRT00778,Partner 778,partner778@demoapp.ai,+91-9854113131,Franchise,Technician,East,Patna,Tier 2,MGR068,Field Technician Bootcamp,2024-10-19,2024-11-14,2024-10,17,26,Standard,9,4,39.7,At Risk,18.1,4,7,2,3,10,15,4,10,64.7,56.8,60.7,Not Certified,,0,0,Not Ready,In Training,5,29,13,44.8,34011.0,50,21.1,70.3,61.5,3.25,6,15.3,-7,81.3,83.2,167,106,1,Low training progress,Assign mentor + mandatory reminders
PRT00779,Partner 779,partner779@demoapp.ai,+91-9780077820,Reseller,Relationship Manager,West,Mumbai,Tier 1,MGR001,Partner Relationship Mastery,2024-08-02,2024-08-19,2024-08,19,17,Standard,13,6,46.2,At Risk,25.0,13,6,1,0,9,19,2,7,56.5,61.2,65.0,Not Certified,,2,0,Not Ready,In Training,17,86,41,47.7,1305345.0,39,25.6,74.2,63.1,3.33,6,14.1,28,88.9,89.1,108,95,0,Low performance,Complete final certification
PRT00780,Partner 780,partner780@demoapp.ai,+91-9238874222,Service Partner,Sales,East,Kolkata,Tier 1,MGR031,Sales Excellence,2025-02-03,2025-02-19,2025-02,13,16,Standard,11,3,25.9,At Risk,30.8,8,7,1,0,13,10,5,14,49.6,56.4,61.5,Not Certified,,1,0,Not Ready,In Training,42,96,48,50.0,1120695.0,3,29.1,63.0,52.5,3.17,5,18.9,1,78.4,78.7,212,151,1,Low training progress,Assign mentor + mandatory reminders
PRT00781,Partner 781,partner781@demoapp.ai,+91-9820238355,Agent,Operations,East,Patna,Tier 2,MGR058,Ops Compliance Track,2025-03-13,2025-03-31,2025-03,12,18,Standard,12,6,46.2,At Risk,25.6,12,13,5,0,15,0,3,12,63.5,66.8,78.4,Not Certified,,0,0,Not Ready,In Training,15,32,16,50.0,119927.0,205,13.3,78.4,54.4,3.41,5,17.5,2,81.5,85.9,140,80,0,Low performance,Complete final certification
PRT00782,Partner 782,partner782@demoapp.ai,+91-9412655622,Service Partner,Operations,West,Pune,Tier 1,MGR012,Ops Compliance Track,2025-02-14,2025-03-15,2025-02,13,29,Delayed,9,4,42.5,At Risk,12.4,5,8,1,2,14,0,2,11,62.7,68.4,56.2,Not Certified,,0,0,Not Ready,In Training,12,4,2,50.0,5385.0,162,21.3,89.2,55.0,3.42,7,19.2,9,94.5,92.6,73,62,1,Low training progress,Assign mentor + mandatory reminders
PRT00783,Partner 783,partner783@demoapp.ai,+91-9419251562,Agent,Support,South,Chennai,Tier 1,MGR036,Support Academy,2024-02-11,2024-02-18,2024-02,25,7,Fast,9,1,7.5,At Risk,21.4,6,5,4,1,5,20,4,9,44.2,54.6,61.9,Not Certified,,0,0,Not Ready,In Training,10,38,14,36.8,65390.0,213,28.5,69.5,35.6,2.88,5,20.4,-17,67.2,66.9,329,295,1,Low training progress,Assign mentor + mandatory reminders
PRT00784,Partner 784,partner784@demoapp.ai,+91-9557254603,Field Staff,Operations,South,Chennai,Tier 1,MGR033,Ops Compliance Track,2025-09-17,2025-10-18,2025-09,6,31,Delayed,9,4,46.2,At Risk,19.3,6,11,1,2,9,1,3,10,72.8,52.9,80.4,Not Certified,,0,0,Not Ready,In Training,19,34,12,35.3,158.0,184,20.7,66.6,58.8,3.03,8,16.6,2,80.4,81.5,184,173,1,Poor customer satisfaction,Quality coaching
PRT00785,Partner 785,partner785@demoapp.ai,+91-9659590327,Service Partner,Sales,Central,Indore,Tier 2,MGR065,Sales Excellence,2024-09-16,2024-10-12,2024-09,18,26,Standard,13,5,37.2,At Risk,28.9,8,17,2,0,16,9,1,16,59.8,68.4,55.7,Not Certified,,0,0,Not Ready,In Training,55,42,21,50.0,264579.0,42,26.1,83.6,57.7,3.32,6,20.6,10,86.1,86.1,138,63,1,Low training progress,Assign mentor + mandatory reminders
PRT00786,Partner 786,partner786@demoapp.ai,+91-9229772272,Agent,Relationship Manager,Central,Raipur,Tier 2,MGR078,Partner Relationship Mastery,2024-04-17,2024-05-05,2024-04,23,18,Standard,13,2,13.7,At Risk,26.0,10,16,4,3,3,24,5,13,55.1,54.4,40.0,Not Certified,,0,0,Not Ready,In Training,21,25,8,32.0,74900.0,44,18.7,64.9,38.5,2.96,7,24.8,-1,66.8,68.4,315,226,1,Low training progress,Assign mentor + mandatory reminders
PRT00787,Partner 787,partner787@demoapp.ai,+91-9326112484,Reseller,Operations,West,Surat,Tier 2,MGR009,Ops Compliance Track,2025-03-06,2025-04-02,2025-03,12,27,Standard,16,4,27.0,At Risk,36.1,8,16,4,3,6,22,3,20,63.0,71.9,56.2,Not Certified,,0,0,Not Ready,In Training,9,20,9,45.0,42571.0,47,20.0,75.5,58.6,3.04,5,18.0,7,86.2,81.9,180,167,1,Low training progress,Assign mentor + mandatory reminders
PRT00788,Partner 788,partner788@demoapp.ai,+91-9697383762,Agent,Relationship Manager,North,Jaipur,Tier 2,MGR018,Partner Relationship Mastery,2025-04-18,2025-05-03,2025-04,11,15,Standard,16,5,29.5,At Risk,32.0,15,16,4,0,16,5,4,17,52.3,68.5,72.0,Not Certified,,2,0,Not Ready,In Training,49,147,63,42.9,1057583.0,8,26.3,73.5,63.8,3.02,8,17.8,0,86.4,82.1,178,159,1,Low training progress,Assign mentor + mandatory reminders
PRT00789,Partner 789,partner789@demoapp.ai,+91-9108384668,Reseller,Relationship Manager,North,Chandigarh,Tier 2,MGR062,Partner Relationship Mastery,2024-03-19,2024-04-08,2024-03,24,20,Standard,14,7,48.0,At Risk,23.6,11,13,3,1,23,1,3,14,72.9,76.6,79.4,Not Certified,,0,0,Not Ready,In Training,9,24,11,45.8,134128.0,36,19.4,76.1,57.4,3.68,6,11.0,44,87.7,92.2,77,59,0,Low performance,Complete final certification
PRT00790,Partner 790,partner790@demoapp.ai,+91-9357208490,Field Staff,Support,North,Delhi,Tier 1,MGR014,Support Academy,2025-12-17,2025-12-31,2025-12,2,14,Fast,8,3,36.5,At Risk,14.9,5,8,4,1,11,12,4,11,64.7,63.0,55.6,Not Certified,,0,0,Not Ready,In Training,14,19,6,31.6,19156.0,163,19.7,67.4,47.5,3.36,6,19.7,-14,76.8,81.3,186,167,1,Low training progress,Assign mentor + mandatory reminders
PRT00791,Partner 791,partner791@demoapp.ai,+91-9879473891,Franchise,Relationship Manager,Central,Bhopal,Tier 2,MGR040,Partner Relationship Mastery,2025-04-01,2025-04-27,2025-04,11,26,Standard,14,5,35.9,At Risk,24.5,10,15,2,0,10,5,4,17,63.8,50.4,64.2,Not Certified,,0,0,Not Ready,In Training,51,155,58,37.4,653376.0,19,28.1,73.5,48.6,3.22,8,14.6,7,72.9,77.7,222,145,1,Low training progress,Assign mentor + mandatory reminders
PRT00792,Partner 792,partner792@demoapp.ai,+91-9914901868,Agent,Relationship Manager,West,Surat,Tier 2,MGR076,Partner Relationship Mastery,2026-01-27,2026-02-08,2026-01,1,12,Fast,14,4,29.3,At Risk,27.4,9,15,2,3,8,18,2,10,52.7,68.4,67.7,Not Certified,,1,0,Not Ready,In Training,42,54,22,40.7,462240.0,21,18.3,86.5,49.2,3.45,9,13.6,5,92.2,89.6,103,90,1,Low training progress,Assign mentor + mandatory reminders
PRT00793,Partner 793,partner793@demoapp.ai,+91-9526369440,Agent,Sales,East,Kolkata,Tier 1,MGR079,Sales Excellence,2025-05-24,2025-06-11,2025-05,9,18,Standard,14,4,25.3,At Risk,25.7,5,14,2,2,14,15,3,15,66.7,62.1,68.9,Not Certified,,2,0,Not Ready,In Training,11,114,54,47.4,1085714.0,7,28.3,79.0,51.4,3.1,6,20.7,4,77.7,77.5,224,163,1,Low training progress,Assign mentor + mandatory reminders
PRT00794,Partner 794,partner794@demoapp.ai,+91-9509146055,Franchise,Sales,Central,Raipur,Tier 2,MGR076,Sales Excellence,2024-01-08,2024-01-31,2024-01,26,23,Standard,13,5,41.8,At Risk,21.6,7,1,3,0,19,6,3,12,50.7,78.4,72.1,Not Certified,,0,0,Not Ready,In Training,16,82,42,51.2,622561.0,46,15.0,94.9,55.5,4.09,4,15.9,-6,100.0,100.0,1,1,1,Low training progress,Assign mentor + mandatory reminders
PRT00795,Partner 795,partner795@demoapp.ai,+91-9467513799,Franchise,Relationship Manager,North,Chandigarh,Tier 2,MGR011,Partner Relationship Mastery,2024-06-07,2024-07-03,2024-06,21,26,Standard,14,6,40.7,At Risk,24.1,9,17,4,0,10,9,2,21,63.8,61.7,78.5,Not Certified,,2,0,Not Ready,In Training,38,118,42,35.6,596312.0,2,28.6,78.9,51.7,3.48,6,16.7,12,80.8,85.3,146,127,1,Low training progress,Assign mentor + mandatory reminders
PRT00796,Partner 796,partner796@demoapp.ai,+91-9610965244,Agent,Technician,East,Bhubaneswar,Tier 2,MGR012,Field Technician Bootcamp,2026-01-09,2026-01-20,2026-01,2,11,Fast,13,5,38.1,At Risk,23.4,8,12,0,2,9,17,2,13,56.3,62.3,71.4,Not Certified,,2,0,Not Ready,In Training,28,3,1,33.3,2912.0,187,27.9,73.8,53.5,3.51,5,16.3,2,82.0,85.9,140,80,1,Low training progress,Assign mentor + mandatory reminders
PRT00797,Partner 797,partner797@demoapp.ai,+91-9162682804,Franchise,Technician,North,Lucknow,Tier 2,MGR015,Field Technician Bootcamp,2025-03-01,2025-03-25,2025-03,12,24,Standard,13,3,26.9,At Risk,13.0,11,7,4,1,13,15,5,13,55.4,59.7,59.1,Not Certified,,0,0,Not Ready,In Training,14,17,6,35.3,47352.0,87,33.5,70.5,55.4,2.71,7,20.2,1,76.4,73.2,267,245,1,Low training progress,Assign mentor + mandatory reminders
PRT00798,Partner 798,partner798@demoapp.ai,+91-9347484440,Franchise,Operations,South,Kochi,Tier 2,MGR062,Ops Compliance Track,2024-04-02,2024-04-12,2024-04,23,10,Fast,14,5,36.0,At Risk,31.7,11,13,3,3,6,22,2,17,50.3,57.1,65.3,Not Certified,,1,0,Not Ready,In Training,5,34,12,35.3,1992.0,173,23.1,71.7,52.4,3.58,5,11.0,0,83.2,87.0,129,118,1,Low training progress,Assign mentor + mandatory reminders
PRT00799,Partner 799,partner799@demoapp.ai,+91-9426468083,Reseller,Technician,Central,Raipur,Tier 2,MGR015,Field Technician Bootcamp,2024-02-26,2024-02-29,2024-02,24,3,Fast,8,2,28.4,At Risk,15.7,5,8,2,0,6,21,3,10,53.4,44.3,62.3,Not Certified,,1,0,Not Ready,In Training,39,5,2,40.0,2536.0,77,29.4,71.9,43.8,3.08,9,22.1,-5,67.8,72.4,275,195,1,Low training progress,Assign mentor + mandatory reminders
PRT00800,Partner 800,partner800@demoapp.ai,+91-9458665206,Reseller,Support,Central,Bhopal,Tier 2,MGR035,Support Academy,2025-02-12,2025-02-24,2025-02,13,12,Fast,12,3,23.4,At Risk,18.3,6,6,1,1,6,8,3,12,47.7,51.4,65.1,Not Certified,,0,0,Not Ready,In Training,7,38,16,42.1,92511.0,97,22.1,70.4,50.0,3.11,6,22.2,3,72.4,74.4,255,177,1,Low training progress,Assign mentor + mandatory reminders
PRT00801,Partner 801,partner801@demoapp.ai,+91-9273333308,Reseller,Support,North,Jaipur,Tier 2,MGR066,Support Academy,2025-03-27,2025-04-21,2025-03,11,25,Standard,9,6,65.9,In Progress,18.6,8,7,2,2,20,4,2,11,62.1,68.4,58.9,In Progress,,1,0,Almost Ready,In Training,15,34,12,35.3,16136.0,98,26.7,84.5,62.1,3.53,7,13.8,15,95.8,97.9,20,11,0,Low performance,Complete final certification
PRT00802,Partner 802,partner802@demoapp.ai,+91-9730947785,Agent,Technician,South,Chennai,Tier 1,MGR040,Field Technician Bootcamp,2024-07-06,2024-07-24,2024-07,20,18,Standard,16,4,24.3,At Risk,25.1,12,10,3,1,11,14,3,20,62.8,66.9,52.7,Not Certified,,2,0,Not Ready,In Training,17,35,16,45.7,52890.0,58,22.9,70.0,59.9,3.56,7,9.3,-4,84.7,85.8,141,130,1,Low training progress,Assign mentor + mandatory reminders
PRT00803,Partner 803,partner803@demoapp.ai,+91-9369626362,Service Partner,Relationship Manager,East,Kolkata,Tier 1,MGR076,Partner Relationship Mastery,2024-05-28,2024-06-11,2024-05,21,14,Fast,16,10,64.7,In Progress,25.1,9,11,3,2,21,6,1,12,68.6,78.3,76.2,In Progress,,2,0,Almost Ready,In Training,60,176,76,43.2,1039213.0,57,24.6,78.7,58.6,3.65,5,11.1,34,86.1,93.6,63,23,0,Low performance,Complete final certification
PRT00804,Partner 804,partner804@demoapp.ai,+91-9846061424,Field Staff,Technician,North,Chandigarh,Tier 2,MGR040,Field Technician Bootcamp,2025-04-05,2025-04-23,2025-04,11,18,Standard,9,2,18.4,At Risk,17.7,4,9,0,1,4,21,4,12,53.7,46.6,65.3,Not Certified,,0,0,Not Ready,In Training,5,33,11,33.3,12180.0,133,33.0,69.3,46.5,3.15,7,21.5,-6,73.4,74.6,253,233,1,Low training progress,Assign mentor + mandatory reminders
PRT00805,Partner 805,partner805@demoapp.ai,+91-9872920641,Franchise,Technician,East,Kolkata,Tier 1,MGR031,Field Technician Bootcamp,2024-11-27,2024-12-15,2024-11,15,18,Standard,16,6,37.2,At Risk,39.1,9,12,0,2,7,23,3,17,66.7,68.7,72.5,Not Certified,,2,0,Not Ready,In Training,9,4,1,25.0,4979.0,94,21.9,69.7,64.5,3.31,7,19.2,-11,79.2,82.2,177,116,1,Low training progress,Assign mentor + mandatory reminders
PRT00806,Partner 806,partner806@demoapp.ai,+91-9863118145,Franchise,Relationship Manager,East,Kolkata,Tier 1,MGR078,Partner Relationship Mastery,2024-01-29,2024-02-21,2024-01,25,23,Standard,12,6,50.0,At Risk,23.1,9,11,0,1,20,0,2,11,71.4,72.3,44.0,Not Certified,,1,0,Not Ready,In Training,57,91,41,45.1,604539.0,12,21.1,80.9,60.2,3.26,5,20.1,25,85.6,87.2,127,68,0,Low performance,Complete final certification
PRT00807,Partner 807,partner807@demoapp.ai,+91-9362491955,Reseller,Relationship Manager,South,Hyderabad,Tier 1,MGR044,Partner Relationship Mastery,2024-02-13,2024-02-18,2024-02,25,5,Fast,14,2,16.5,At Risk,20.3,14,15,3,0,7,18,3,23,53.5,54.6,68.0,Not Certified,,0,0,Not Ready,In Training,59,152,67,44.1,749552.0,13,26.6,54.4,37.2,2.98,7,22.2,-2,67.3,69.3,306,284,1,Low training progress,Assign mentor + mandatory reminders
PRT00808,Partner 808,partner808@demoapp.ai,+91-9812064265,Franchise,Relationship Manager,South,Hyderabad,Tier 1,MGR015,Partner Relationship Mastery,2024-06-30,2024-07-17,2024-06,20,17,Standard,13,3,24.7,At Risk,21.3,9,10,3,1,7,17,2,13,52.0,57.1,60.2,Not Certified,,1,0,Not Ready,In Training,14,84,26,31.0,322937.0,41,25.8,75.8,64.9,3.61,5,20.4,-7,93.1,91.0,89,78,1,Low training progress,Assign mentor + mandatory reminders
PRT00809,Partner 809,partner809@demoapp.ai,+91-9218058160,Field Staff,Sales,South,Chennai,Tier 1,MGR051,Sales Excellence,2025-03-04,2025-03-23,2025-03,12,19,Standard,9,3,31.1,At Risk,19.6,5,10,1,0,13,14,2,12,57.4,50.0,45.9,Not Certified,,2,0,Not Ready,In Training,36,59,18,30.5,369255.0,45,27.1,64.1,50.2,2.9,5,26.4,-6,76.3,75.6,243,232,1,Low training progress,Assign mentor + mandatory reminders
PRT00810,Partner 810,partner810@demoapp.ai,+91-9339228389,Service Partner,Relationship Manager,Central,Nagpur,Tier 2,MGR062,Partner Relationship Mastery,2024-08-16,2024-08-23,2024-08,19,7,Fast,16,4,25.3,At Risk,31.7,16,20,3,0,9,21,3,21,60.2,59.1,52.2,Not Certified,,0,0,Not Ready,In Training,58,86,29,33.7,636300.0,27,21.1,70.1,55.7,3.4,6,23.9,2,71.5,77.1,228,151,1,Low training progress,Assign mentor + mandatory reminders
PRT00811,Partner 811,partner811@demoapp.ai,+91-9231015728,Franchise,Technician,South,Kochi,Tier 2,MGR068,Field Technician Bootcamp,2024-01-12,2024-01-19,2024-01,26,7,Fast,13,4,33.6,At Risk,29.0,8,14,3,0,10,8,3,10,71.4,60.0,45.7,Not Certified,,1,0,Not Ready,In Training,56,8,3,37.5,14605.0,98,25.5,67.4,57.4,2.84,7,19.8,-2,76.2,75.4,245,234,1,Low training progress,Assign mentor + mandatory reminders
PRT00812,Partner 812,partner812@demoapp.ai,+91-9118544381,Franchise,Sales,East,Guwahati,Tier 2,MGR001,Sales Excellence,2025-11-26,2025-12-11,2025-11,3,15,Standard,12,4,30.3,At Risk,23.7,7,13,2,1,10,20,2,12,39.6,68.0,64.1,Not Certified,,1,0,Not Ready,In Training,55,89,40,44.9,726533.0,4,24.7,75.7,60.2,3.3,7,11.9,11,82.3,82.8,171,110,1,Low training progress,Assign mentor + mandatory reminders
PRT00813,Partner 813,partner813@demoapp.ai,+91-9406636579,Service Partner,Technician,South,Hyderabad,Tier 1,MGR009,Field Technician Bootcamp,2025-06-11,2025-06-29,2025-06,9,18,Standard,13,2,14.8,At Risk,27.9,8,14,0,1,9,17,3,12,57.6,52.7,51.4,Not Certified,,2,0,Not Ready,In Training,35,7,3,42.9,16960.0,29,21.4,62.8,53.8,3.37,6,17.1,-9,81.2,80.6,193,182,1,Low training progress,Assign mentor + mandatory reminders
PRT00814,Partner 814,partner814@demoapp.ai,+91-9863377868,Field Staff,Relationship Manager,West,Mumbai,Tier 1,MGR051,Partner Relationship Mastery,2025-03-19,2025-04-06,2025-03,12,18,Standard,16,9,56.4,At Risk,43.3,10,16,2,1,21,0,0,22,60.8,68.0,64.9,Not Certified,,0,0,Not Ready,In Training,5,71,24,33.8,489566.0,58,27.7,69.5,68.8,3.03,7,16.6,25,88.6,87.5,124,111,1,Poor customer satisfaction,Quality coaching
PRT00815,Partner 815,partner815@demoapp.ai,+91-9703882762,Franchise,Technician,North,Jaipur,Tier 2,MGR060,Field Technician Bootcamp,2024-07-04,2024-07-18,2024-07,20,14,Fast,13,4,29.5,At Risk,15.5,12,14,3,0,6,11,3,18,55.6,69.8,83.0,Not Certified,,0,0,Not Ready,In Training,6,12,5,41.7,14215.0,98,14.2,79.0,47.0,3.34,5,16.6,-4,81.7,82.8,171,152,1,Low training progress,Assign mentor + mandatory reminders
PRT00816,Partner 816,partner816@demoapp.ai,+91-9358290922,Service Partner,Relationship Manager,North,Delhi,Tier 1,MGR053,Partner Relationship Mastery,2025-06-22,2025-07-05,2025-06,8,13,Fast,13,3,23.2,At Risk,37.5,5,8,1,3,9,14,4,20,55.7,49.6,63.9,Not Certified,,2,0,Not Ready,In Training,55,40,11,27.5,169021.0,10,29.2,48.6,53.9,3.01,7,21.5,-4,75.2,74.9,250,230,1,Low training progress,Assign mentor + mandatory reminders
PRT00817,Partner 817,partner817@demoapp.ai,+91-9906113461,Service Partner,Support,West,Mumbai,Tier 1,MGR031,Support Academy,2025-12-20,2026-01-04,2025-12,2,15,Standard,15,8,54.5,At Risk,33.3,12,13,1,3,19,4,2,14,69.7,65.1,79.3,Not Certified,,1,0,Not Ready,In Training,6,20,9,45.0,28773.0,39,19.9,71.4,50.5,3.33,7,22.5,26,88.7,90.3,96,84,0,Low performance,Complete final certification
PRT00818,Partner 818,partner818@demoapp.ai,+91-9939728289,Field Staff,Sales,West,Pune,Tier 1,MGR061,Sales Excellence,2025-05-28,2025-06-17,2025-05,9,20,Standard,14,7,46.9,At Risk,41.7,10,14,0,1,24,0,4,24,61.9,64.7,64.2,Not Certified,,2,0,Not Ready,In Training,8,83,38,45.8,721392.0,11,18.8,79.0,48.4,3.49,6,19.4,8,85.2,88.8,111,98,0,Low performance,Complete final certification
PRT00819,Partner 819,partner819@demoapp.ai,+91-9965201418,Field Staff,Support,South,Chennai,Tier 1,MGR047,Support Academy,2024-08-12,2024-09-09,2024-08,19,28,Standard,9,3,34.0,At Risk,12.2,5,8,5,0,9,10,1,13,72.5,69.0,62.4,Not Certified,,0,0,Not Ready,In Training,0,17,5,29.4,21323.0,180,21.4,71.3,49.2,3.57,5,15.0,-18,90.3,90.5,94,83,1,Low training progress,Assign mentor + mandatory reminders
PRT00820,Partner 820,partner820@demoapp.ai,+91-9827199599,Agent,Support,South,Bengaluru,Tier 1,MGR075,Support Academy,2024-10-25,2024-10-28,2024-10,16,3,Fast,15,8,51.6,At Risk,29.6,10,23,2,1,19,6,1,24,74.6,71.8,67.4,Not Certified,,1,0,Not Ready,In Training,14,4,1,25.0,2828.0,201,18.2,84.3,55.7,3.25,7,11.0,14,83.1,85.9,140,129,0,Low performance,Complete final certification
PRT00821,Partner 821,partner821@demoapp.ai,+91-9735173323,Franchise,Relationship Manager,Central,Indore,Tier 2,MGR030,Partner Relationship Mastery,2025-12-07,2025-12-30,2025-12,3,23,Standard,16,5,31.1,At Risk,29.9,10,14,1,1,12,8,3,19,56.8,72.5,70.6,Not Certified,,2,0,Not Ready,In Training,23,114,44,38.6,906680.0,2,26.4,68.1,56.4,3.08,7,25.0,-5,73.8,76.1,238,161,1,Low training progress,Assign mentor + mandatory reminders
PRT00822,Partner 822,partner822@demoapp.ai,+91-9578566736,Field Staff,Relationship Manager,North,Lucknow,Tier 2,MGR061,Partner Relationship Mastery,2024-01-11,2024-01-28,2024-01,26,17,Standard,14,4,25.3,At Risk,30.8,10,6,1,4,10,18,3,16,72.7,59.9,68.4,Not Certified,,1,0,Not Ready,In Training,27,122,44,36.1,416220.0,11,17.1,63.9,44.7,3.55,6,26.2,-4,82.6,84.7,152,133,1,Low training progress,Assign mentor + mandatory reminders
PRT00823,Partner 823,partner823@demoapp.ai,+91-9630135881,Agent,Relationship Manager,North,Jaipur,Tier 2,MGR012,Partner Relationship Mastery,2024-06-17,2024-07-09,2024-06,21,22,Standard,9,2,16.7,At Risk,18.1,6,8,0,2,4,27,4,9,48.4,35.7,57.2,Not Certified,,1,0,Not Ready,In Training,44,149,50,33.6,590913.0,17,27.1,48.7,49.0,2.62,8,28.1,-19,70.1,67.3,325,285,1,Low training progress,Assign mentor + mandatory reminders
PRT00824,Partner 824,partner824@demoapp.ai,+91-9657865569,Field Staff,Sales,South,Hyderabad,Tier 1,MGR059,Sales Excellence,2024-03-22,2024-04-18,2024-03,24,27,Standard,12,4,30.7,At Risk,23.5,8,13,4,1,10,8,4,18,53.7,63.0,52.3,Not Certified,,0,0,Not Ready,In Training,36,155,78,50.3,1448246.0,26,24.4,62.0,50.2,3.4,7,17.3,-2,85.1,85.4,145,134,1,Low training progress,Assign mentor + mandatory reminders
PRT00825,Partner 825,partner825@demoapp.ai,+91-9559313071,Reseller,Support,South,Bengaluru,Tier 1,MGR059,Support Academy,2025-05-02,2025-05-14,2025-05,10,12,Fast,8,3,34.9,At Risk,17.2,4,5,2,1,15,7,3,9,63.4,61.6,76.0,Not Certified,,0,0,Not Ready,In Training,3,22,9,40.9,42273.0,119,19.6,65.6,56.8,3.27,7,13.5,15,80.4,82.2,177,166,1,Low training progress,Assign mentor + mandatory reminders
PRT00826,Partner 826,partner826@demoapp.ai,+91-9463891570,Franchise,Sales,West,Surat,Tier 2,MGR021,Sales Excellence,2024-12-14,2025-01-09,2024-12,15,26,Standard,14,3,18.5,At Risk,24.5,14,12,1,1,14,13,5,16,50.4,45.1,57.8,Not Certified,,1,0,Not Ready,In Training,5,174,52,29.9,756697.0,54,28.2,69.4,29.2,3.5,6,20.7,-5,73.1,78.0,219,206,1,Low training progress,Assign mentor + mandatory reminders
PRT00827,Partner 827,partner827@demoapp.ai,+91-9302175353,Field Staff,Relationship Manager,West,Pune,Tier 1,MGR005,Partner Relationship Mastery,2024-04-11,2024-04-19,2024-04,23,8,Fast,16,2,13.2,At Risk,25.1,14,14,4,1,3,20,4,23,56.9,51.8,40.0,Not Certified,,1,0,Not Ready,In Training,34,127,24,18.9,441594.0,14,29.7,59.9,37.9,2.98,6,15.6,-20,63.4,66.6,332,300,1,Low training progress,Assign mentor + mandatory reminders
PRT00828,Partner 828,partner828@demoapp.ai,+91-9521972706,Agent,Sales,East,Patna,Tier 2,MGR080,Sales Excellence,2025-12-16,2026-01-04,2025-12,2,19,Standard,8,2,29.3,At Risk,16.0,6,7,3,2,5,10,3,11,57.4,49.0,85.2,Not Certified,,2,0,Not Ready,In Training,36,50,22,44.0,392871.0,22,22.8,64.5,52.2,3.39,9,19.2,5,77.3,80.8,191,130,1,Low training progress,Assign mentor + mandatory reminders
PRT00829,Partner 829,partner829@demoapp.ai,+91-9117224082,Service Partner,Technician,East,Bhubaneswar,Tier 2,MGR007,Field Technician Bootcamp,2025-02-23,2025-03-11,2025-02,12,16,Standard,8,3,41.5,At Risk,12.5,5,6,0,2,23,3,3,9,68.2,63.7,68.3,Not Certified,,2,0,Not Ready,In Training,18,37,14,37.8,63221.0,130,18.9,63.5,55.3,3.19,6,17.8,-1,74.3,79.0,209,148,1,Low training progress,Assign mentor + mandatory reminders
PRT00830,Partner 830,partner830@demoapp.ai,+91-9906398784,Agent,Relationship Manager,South,Bengaluru,Tier 1,MGR038,Partner Relationship Mastery,2024-07-08,2024-07-26,2024-07,20,18,Standard,16,6,34.7,At Risk,27.9,14,19,2,1,10,9,1,20,54.3,59.8,63.2,Not Certified,,1,0,Not Ready,In Training,57,176,80,45.5,1318025.0,52,18.9,73.6,69.6,3.32,7,15.7,-13,93.4,89.8,101,90,1,Low training progress,Assign mentor + mandatory reminders
PRT00831,Partner 831,partner831@demoapp.ai,+91-9771520260,Field Staff,Technician,West,Pune,Tier 1,MGR001,Field Technician Bootcamp,2025-12-19,2025-12-29,2025-12,2,10,Fast,15,5,30.4,At Risk,17.3,11,22,2,2,12,11,1,19,76.8,50.9,42.2,Not Certified,,2,0,Not Ready,In Training,38,29,11,37.9,51901.0,80,22.0,61.5,68.6,3.17,9,24.4,-9,86.1,83.6,163,150,1,Low training progress,Assign mentor + mandatory reminders
PRT00832,Partner 832,partner832@demoapp.ai,+91-9469229948,Field Staff,Support,North,Delhi,Tier 1,MGR034,Support Academy,2025-06-14,2025-07-05,2025-06,9,21,Standard,15,7,48.6,At Risk,27.4,11,10,5,2,14,3,4,18,63.7,66.8,75.3,Not Certified,,2,0,Not Ready,In Training,6,4,2,50.0,10241.0,172,25.1,83.1,41.6,3.64,7,13.4,20,82.4,89.0,109,90,0,Low performance,Complete final certification
